Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
6353	1	sp|Q9Y3Q3|TMED3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TMED3_HUMAN", "TMED3_HUMAN")		30.9	217	24777	Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=1 SV=1	6	6	1.000	0	0	1	1	0	0	0	0	3	1	0	0	1	1	0	0	0	0	3	1	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	3.000	1.000
6354	1	sp|Q9Y3Q8|T22D4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/T22D4_HUMAN", "T22D4_HUMAN")		28.9	395	41026	TSC22 domain family protein 4 OS=Homo sapiens GN=TSC22D4 PE=1 SV=2	15	15	1.000	1	2	3	0	1	3	2	0	2	1	1	2	3	0	1	3	2	0	2	1	1.000	2.000	3.000	0.000	1.000	3.000	2.000	0.000	2.000	1.000
6355	1	sp|Q9Y3R0|GRIP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/GRIP1_HUMAN", "GRIP1_HUMAN")		5.5	1128	122421	Glutamate receptor-interacting protein 1 OS=Homo sapiens GN=GRIP1 PE=1 SV=3	7	7	1.000	1	0	0	0	3	0	2	0	0	1	1	0	0	0	3	0	2	0	0	1	1.000	0.000	0.000	0.000	3.000	0.000	2.000	0.000	0.000	1.000
6356	1	sp|Q9Y3R5|DOP2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DOP2_HUMAN", "DOP2_HUMAN")		2.9	2298	258227	Protein dopey-2 OS=Homo sapiens GN=DOPEY2 PE=1 SV=5	5	5	1.000	0	1	2	0	1	0	1	0	0	0	0	1	2	0	1	0	1	0	0	0	0.000	1.000	2.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000
6357	1	sp|Q9Y3T9|NOC2L_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NOC2L_HUMAN", "NOC2L_HUMAN")		13.6	749	84918	Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4	29	29	1.000	3	2	6	3	3	2	2	3	3	2	3	2	6	3	3	2	2	3	3	2	3.000	2.000	6.000	3.000	3.000	2.000	2.000	3.000	3.000	2.000
6358	1	sp|Q9Y3U8|RL36_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RL36_HUMAN", "RL36_HUMAN")		43.8	105	12254	60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3	230	230	1.000	22	21	20	23	28	25	25	12	27	27	22	21	20	23	28	25	25	12	27	27	22.000	21.000	20.000	23.000	28.000	25.000	25.000	12.000	27.000	27.000
6359	1	sp|Q9Y3X0|CCDC9_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CCDC9_HUMAN", "CCDC9_HUMAN")		15.6	531	59702	Coiled-coil domain-containing protein 9 OS=Homo sapiens GN=CCDC9 PE=1 SV=1	19	19	1.000	0	2	3	2	2	1	2	1	4	2	0	2	3	2	2	1	2	1	4	2	0.000	2.000	3.000	2.000	2.000	1.000	2.000	1.000	4.000	2.000
6360	1	sp|Q9Y3Y2|CHTOP_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CHTOP_HUMAN", "CHTOP_HUMAN")		33.9	248	26396	Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2	118	118	1.000	8	14	12	15	10	15	11	10	15	8	8	14	12	15	10	15	11	10	15	8	8.000	14.000	12.000	15.000	10.000	15.000	11.000	10.000	15.000	8.000
6361	1	sp|Q9Y3Z3|SAMH1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SAMH1_HUMAN", "SAMH1_HUMAN")		74.8	626	72200	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1 PE=1 SV=2	750	750	1.000	16	31	48	46	57	66	90	93	154	149	16	31	48	46	57	66	90	93	154	149	16.000	31.000	48.000	46.000	57.000	66.000	90.000	93.000	154.000	149.000
6362	1	sp|Q9Y426|CU025_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CU025_HUMAN", "CU025_HUMAN")		18.8	696	75532	C2 domain-containing protein 2 OS=Homo sapiens GN=C2CD2 PE=1 SV=2	17	17	1.000	0	2	3	3	0	1	1	2	1	4	0	2	3	3	0	1	1	2	1	4	0.000	2.000	3.000	3.000	0.000	1.000	1.000	2.000	1.000	4.000
6363	1	sp|Q9Y450|HBS1L_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/HBS1L_HUMAN", "HBS1L_HUMAN")		40.4	684	75472	HBS1-like protein OS=Homo sapiens GN=HBS1L PE=1 SV=1	53	53	1.000	5	5	6	7	5	2	4	5	11	3	5	5	6	7	5	2	4	5	11	3	5.000	5.000	6.000	7.000	5.000	2.000	4.000	5.000	11.000	3.000
6364	1	sp|Q9Y478|AAKB1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/AAKB1_HUMAN", "AAKB1_HUMAN")		18.1	270	30382	5'-AMP-activated protein kinase subunit beta-1 OS=Homo sapiens GN=PRKAB1 PE=1 SV=4	14	14	1.000	1	0	4	1	2	0	1	0	3	2	1	0	4	1	2	0	1	0	3	2	1.000	0.000	4.000	1.000	2.000	0.000	1.000	0.000	3.000	2.000
6365	1	sp|Q9Y485|DMXL1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DMXL1_HUMAN", "DMXL1_HUMAN")		3.4	3027	337835	DmX-like protein 1 OS=Homo sapiens GN=DMXL1 PE=1 SV=3	11	11	1.000	2	0	2	1	0	1	0	2	2	1	2	0	2	1	0	1	0	2	2	1	2.000	0.000	2.000	1.000	0.000	1.000	0.000	2.000	2.000	1.000
6367	1	sp|Q9Y496|KIF3A_HUMAN	 	 	sp|O15066|KIF3B_HUMAN, sp|O95239|KIF4A_HUMAN, sp|Q2VIQ3|KIF4B_HUMAN, sp|Q6ZMV9|KIF6_HUMAN, sp|Q96L93|KI16B_HUMAN, sp|Q9Y496|KIF3A_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/KIF3A_HUMAN", "KIF3A_HUMAN")		7.4	699	80040	Kinesin-like protein KIF3A OS=Homo sapiens GN=KIF3A PE=1 SV=4	10	5	0.500	0	1	2	2	2	1	1	0	0	1	0	1	0	0	2	1	0	0	0	1	0.000	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	1.000
6368	1	sp|Q9Y4A5|TRRAP_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TRRAP_HUMAN", "TRRAP_HUMAN")		4.8	3859	437595	Transformation/transcription domain-associated protein OS=Homo sapiens GN=TRRAP PE=1 SV=3	12	12	1.000	3	0	0	4	2	1	1	0	0	1	3	0	0	4	2	1	1	0	0	1	3.000	0.000	0.000	4.000	2.000	1.000	1.000	0.000	0.000	1.000
6369	1	sp|Q9Y4B5|MTCL1_HUMAN	 	 	sp|O94964|SOGA1_HUMAN, sp|Q5TF21|SOGA3_HUMAN, sp|Q9Y4B5|MTCL1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/MTCL1_HUMAN", "MTCL1_HUMAN")		15.4	1905	209524	Microtubule cross-linking factor 1 OS=Homo sapiens GN=MTCL1 PE=1 SV=5	22	18	0.818	1	1	4	0	3	0	1	4	2	6	0	0	4	0	2	0	1	4	2	5	0.000	0.000	4.000	0.000	2.500	0.000	1.000	4.000	2.000	6.000
6370	1	sp|Q9Y4B6|VPRBP_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/VPRBP_HUMAN", "VPRBP_HUMAN")		3.6	1507	169005	Protein VPRBP OS=Homo sapiens GN=VPRBP PE=1 SV=3	9	9	1.000	2	1	3	0	0	2	0	0	0	1	2	1	3	0	0	2	0	0	0	1	2.000	1.000	3.000	0.000	0.000	2.000	0.000	0.000	0.000	1.000
6371	1	sp|Q9Y4C1|KDM3A_HUMAN	 	 	sp|Q7LBC6|KDM3B_HUMAN, sp|Q9Y4C1|KDM3A_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/KDM3A_HUMAN", "KDM3A_HUMAN")		7.9	1321	147339	Lysine-specific demethylase 3A OS=Homo sapiens GN=KDM3A PE=1 SV=4	9	7	0.778	2	0	2	0	0	1	0	2	1	1	1	0	2	0	0	0	0	2	1	1	2.000	0.000	2.000	0.000	0.000	0.000	0.000	2.000	1.000	1.000
6372	1	sp|Q9Y4C2|TCAF1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TCAF1_HUMAN", "TCAF1_HUMAN")		6.9	921	102125	TRPM8 channel-associated factor 1 OS=Homo sapiens GN=TCAF1 PE=1 SV=3	23	23	1.000	4	3	4	1	2	1	3	1	3	1	4	3	4	1	2	1	3	1	3	1	4.000	3.000	4.000	1.000	2.000	1.000	3.000	1.000	3.000	1.000
6373	1	sp|Q9Y4C8|RBM19_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RBM19_HUMAN", "RBM19_HUMAN")		7.5	960	107330	Probable RNA-binding protein 19 OS=Homo sapiens GN=RBM19 PE=1 SV=3	5	5	1.000	3	0	1	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	3.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
6374	1	sp|Q9Y4D1|DAAM1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DAAM1_HUMAN", "DAAM1_HUMAN")		3.4	1078	123472	Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens GN=DAAM1 PE=1 SV=2	4	4	1.000	1	0	0	0	2	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	1.000	0.000	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000
6375	1	sp|Q9Y4D7|PLXD1_HUMAN	 	 	sp|O15031|PLXB2_HUMAN, sp|Q9Y4D7|PLXD1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/PLXD1_HUMAN", "PLXD1_HUMAN")		43.5	1925	212005	Plexin-D1 OS=Homo sapiens GN=PLXND1 PE=1 SV=3	650	639	0.983	32	55	86	74	100	35	52	78	80	58	32	55	83	72	96	35	52	78	79	57	32.000	55.000	85.988	73.947	99.920	35.000	52.000	78.000	80.000	57.966
6376	1	sp|Q9Y4D8|HECD4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/HECD4_HUMAN", "HECD4_HUMAN")		1.8	3996	439339	Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens GN=HECTD4 PE=1 SV=5	6	6	1.000	1	0	0	0	1	1	0	1	0	2	1	0	0	0	1	1	0	1	0	2	1.000	0.000	0.000	0.000	1.000	1.000	0.000	1.000	0.000	2.000
6377	1	sp|Q9Y4E1|FA21C_HUMAN	 	 	sp|Q641Q2|FA21A_HUMAN, sp|Q9Y4E1|FA21C_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/FA21C_HUMAN", "FA21C_HUMAN")		38.3	1318	144666	WASH complex subunit FAM21C OS=Homo sapiens GN=FAM21C PE=1 SV=3	303	38	0.125	24	39	53	20	38	20	27	30	28	24	3	3	8	2	3	2	1	9	5	2	15.600	15.000	48.000	14.000	14.667	11.000	5.333	21.600	21.429	9.333
6378	1	sp|Q9Y4E8|UBP15_HUMAN	 	 	sp|P51784|UBP11_HUMAN, sp|Q13107|UBP4_HUMAN, sp|Q9Y4E8|UBP15_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/UBP15_HUMAN", "UBP15_HUMAN")		30.8	981	112418	Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens GN=USP15 PE=1 SV=3	101	96	0.950	11	7	16	4	8	10	10	9	14	12	11	7	16	4	8	8	9	7	14	12	11.000	7.000	16.000	4.000	8.000	9.067	9.600	8.167	14.000	12.000
6379	1	sp|Q9Y4F1|FARP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/FARP1_HUMAN", "FARP1_HUMAN")		9.3	1045	118632	FERM, RhoGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens GN=FARP1 PE=1 SV=1	8	8	1.000	1	0	0	1	1	1	0	1	3	0	1	0	0	1	1	1	0	1	3	0	1.000	0.000	0.000	1.000	1.000	1.000	0.000	1.000	3.000	0.000
6380	1	sp|Q9Y4F5|C170B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/C170B_HUMAN", "C170B_HUMAN")		4.5	1589	171686	Centrosomal protein of 170 kDa protein B OS=Homo sapiens GN=CEP170B PE=1 SV=4	4	4	1.000	0	2	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0.000	2.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
6382	1	sp|Q9Y4G8|RPGF2_HUMAN	 	 	sp|Q8TEU7|RPGF6_HUMAN, sp|Q9Y4G8|RPGF2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/RPGF2_HUMAN", "RPGF2_HUMAN")		19.3	1499	167415	Rap guanine nucleotide exchange factor 2 OS=Homo sapiens GN=RAPGEF2 PE=1 SV=1	43	41	0.953	4	3	1	3	4	5	7	6	9	1	4	3	1	3	4	5	7	4	9	1	4.000	3.000	1.000	3.000	4.000	5.000	7.000	5.600	9.000	1.000
6383	1	sp|Q9Y4I1|MYO5A_HUMAN	 	 	sp|Q9NQX4|MYO5C_HUMAN, sp|Q9Y4I1|MYO5A_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/MYO5A_HUMAN", "MYO5A_HUMAN")		27.0	1855	215403	Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=2	174	169	0.971	22	22	24	17	29	7	15	22	6	10	21	20	23	16	29	7	15	22	6	10	22.000	22.000	23.958	17.000	29.000	7.000	15.000	22.000	6.000	10.000
6384	1	sp|Q9Y4K0|LOXL2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/LOXL2_HUMAN", "LOXL2_HUMAN")		41.0	774	86724	Lysyl oxidase homolog 2 OS=Homo sapiens GN=LOXL2 PE=1 SV=1	144	144	1.000	8	5	19	12	11	10	6	13	34	26	8	5	19	12	11	10	6	13	34	26	8.000	5.000	19.000	12.000	11.000	10.000	6.000	13.000	34.000	26.000
6385	1	sp|Q9Y4K1|AIM1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/AIM1_HUMAN", "AIM1_HUMAN")		31.4	1723	188674	Absent in melanoma 1 protein OS=Homo sapiens GN=AIM1 PE=1 SV=3	159	159	1.000	14	17	38	17	26	5	8	13	13	8	14	17	38	17	26	5	8	13	13	8	14.000	17.000	38.000	17.000	26.000	5.000	8.000	13.000	13.000	8.000
6386	1	sp|Q9Y4K3|TRAF6_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TRAF6_HUMAN", "TRAF6_HUMAN")		8.4	522	59573	TNF receptor-associated factor 6 OS=Homo sapiens GN=TRAF6 PE=1 SV=1	7	7	1.000	1	1	0	1	0	1	0	3	0	0	1	1	0	1	0	1	0	3	0	0	1.000	1.000	0.000	1.000	0.000	1.000	0.000	3.000	0.000	0.000
6387	1	sp|Q9Y4K4|M4K5_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/M4K5_HUMAN", "M4K5_HUMAN")		11.7	846	95039	Mitogen-activated protein kinase kinase kinase kinase 5 OS=Homo sapiens GN=MAP4K5 PE=1 SV=1	21	21	1.000	2	5	4	0	0	2	4	4	0	0	2	5	4	0	0	2	4	4	0	0	2.000	5.000	4.000	0.000	0.000	2.000	4.000	4.000	0.000	0.000
6388	1	sp|Q9Y4L1|HYOU1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/HYOU1_HUMAN", "HYOU1_HUMAN")		62.5	999	111334	Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1	1784	1784	1.000	139	174	153	113	147	192	229	181	279	177	139	174	153	113	147	192	229	181	279	177	139.000	174.000	153.000	113.000	147.000	192.000	229.000	181.000	279.000	177.000
6389	1	sp|Q9Y4P1|ATG4B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ATG4B_HUMAN", "ATG4B_HUMAN")		29.3	393	44294	Cysteine protease ATG4B OS=Homo sapiens GN=ATG4B PE=1 SV=2	52	52	1.000	5	2	8	4	9	5	2	3	11	3	5	2	8	4	9	5	2	3	11	3	5.000	2.000	8.000	4.000	9.000	5.000	2.000	3.000	11.000	3.000
6390	1	sp|Q9Y4P3|TBL2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TBL2_HUMAN", "TBL2_HUMAN")		27.5	447	49797	Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1	36	36	1.000	6	4	1	2	2	6	4	4	5	2	6	4	1	2	2	6	4	4	5	2	6.000	4.000	1.000	2.000	2.000	6.000	4.000	4.000	5.000	2.000
6391	1	sp|Q9Y4P8|WIPI2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/WIPI2_HUMAN", "WIPI2_HUMAN")		26.9	454	49408	WD repeat domain phosphoinositide-interacting protein 2 OS=Homo sapiens GN=WIPI2 PE=1 SV=1	41	41	1.000	3	3	7	5	4	5	3	5	5	1	3	3	7	5	4	5	3	5	5	1	3.000	3.000	7.000	5.000	4.000	5.000	3.000	5.000	5.000	1.000
6392	1	sp|Q9Y4R8|TELO2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TELO2_HUMAN", "TELO2_HUMAN")		19.0	837	91746	Telomere length regulation protein TEL2 homolog OS=Homo sapiens GN=TELO2 PE=1 SV=2	25	25	1.000	0	1	3	6	4	0	2	0	5	4	0	1	3	6	4	0	2	0	5	4	0.000	1.000	3.000	6.000	4.000	0.000	2.000	0.000	5.000	4.000
6393	1	sp|Q9Y4W2|LAS1L_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/LAS1L_HUMAN", "LAS1L_HUMAN")		28.6	734	83064	Ribosomal biogenesis protein LAS1L OS=Homo sapiens GN=LAS1L PE=1 SV=2	54	54	1.000	3	5	10	6	9	1	2	5	9	4	3	5	10	6	9	1	2	5	9	4	3.000	5.000	10.000	6.000	9.000	1.000	2.000	5.000	9.000	4.000
6394	1	sp|Q9Y4W6|AFG32_HUMAN	 	 	sp|Q01484|ANK2_HUMAN, sp|Q9Y4W6|AFG32_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/AFG32_HUMAN", "AFG32_HUMAN")		37.0	797	88583	AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2	85	82	0.965	5	13	12	4	10	7	7	12	9	6	5	13	12	4	8	7	7	12	9	5	5.000	13.000	12.000	4.000	9.778	7.000	7.000	12.000	9.000	6.000
6395	1	sp|Q9Y4X5|ARI1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ARI1_HUMAN", "ARI1_HUMAN")		39.3	557	64117	E3 ubiquitin-protein ligase ARIH1 OS=Homo sapiens GN=ARIH1 PE=1 SV=2	51	51	1.000	4	4	6	6	6	3	2	3	9	8	4	4	6	6	6	3	2	3	9	8	4.000	4.000	6.000	6.000	6.000	3.000	2.000	3.000	9.000	8.000
6396	1	sp|Q9Y4Y9|LSM5_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/LSM5_HUMAN", "LSM5_HUMAN")		29.7	91	9937	U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens GN=LSM5 PE=1 SV=3	28	28	1.000	4	9	1	1	1	3	2	1	5	1	4	9	1	1	1	3	2	1	5	1	4.000	9.000	1.000	1.000	1.000	3.000	2.000	1.000	5.000	1.000
6397	1	sp|Q9Y4Z0|LSM4_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/LSM4_HUMAN", "LSM4_HUMAN")		48.2	139	15350	U6 snRNA-associated Sm-like protein LSm4 OS=Homo sapiens GN=LSM4 PE=1 SV=1	138	138	1.000	11	23	19	14	7	12	15	11	17	9	11	23	19	14	7	12	15	11	17	9	11.000	23.000	19.000	14.000	7.000	12.000	15.000	11.000	17.000	9.000
6398	1	sp|Q9Y508|RN114_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RN114_HUMAN", "RN114_HUMAN")		46.1	228	25694	E3 ubiquitin-protein ligase RNF114 OS=Homo sapiens GN=RNF114 PE=1 SV=1	66	66	1.000	6	7	7	2	8	7	12	9	6	2	6	7	7	2	8	7	12	9	6	2	6.000	7.000	7.000	2.000	8.000	7.000	12.000	9.000	6.000	2.000
6399	1	sp|Q9Y512|SAM50_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SAM50_HUMAN", "SAM50_HUMAN")		32.2	469	51976	Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3	68	68	1.000	4	2	11	9	13	5	2	2	10	10	4	2	11	9	13	5	2	2	10	10	4.000	2.000	11.000	9.000	13.000	5.000	2.000	2.000	10.000	10.000
6400	1	sp|Q9Y520|PRC2C_HUMAN	 	 	sp|P48634|PRC2A_HUMAN, sp|Q5JSZ5|PRC2B_HUMAN, sp|Q9Y520|PRC2C_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/PRC2C_HUMAN", "PRC2C_HUMAN")		21.8	2896	316907	Protein PRRC2C OS=Homo sapiens GN=PRRC2C PE=1 SV=4	290	278	0.959	26	38	35	33	29	18	32	18	44	17	25	37	32	30	29	18	31	17	43	16	25.625	37.552	33.959	32.045	29.000	18.000	31.633	17.630	43.662	16.640
6401	1	sp|Q9Y566|SHAN1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SHAN1_HUMAN", "SHAN1_HUMAN")		1.7	2161	224956	SH3 and multiple ankyrin repeat domains protein 1 OS=Homo sapiens GN=SHANK1 PE=1 SV=2	2	2	1.000	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
6402	1	sp|Q9Y570|PPME1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PPME1_HUMAN", "PPME1_HUMAN")		44.8	386	42315	Protein phosphatase methylesterase 1 OS=Homo sapiens GN=PPME1 PE=1 SV=3	73	73	1.000	8	7	5	8	17	5	2	4	12	5	8	7	5	8	17	5	2	4	12	5	8.000	7.000	5.000	8.000	17.000	5.000	2.000	4.000	12.000	5.000
6403	1	sp|Q9Y572|RIPK3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RIPK3_HUMAN", "RIPK3_HUMAN")		15.6	518	56887	Receptor-interacting serine/threonine-protein kinase 3 OS=Homo sapiens GN=RIPK3 PE=1 SV=2	7	7	1.000	0	0	0	0	0	1	4	1	1	0	0	0	0	0	0	1	4	1	1	0	0.000	0.000	0.000	0.000	0.000	1.000	4.000	1.000	1.000	0.000
6404	1	sp|Q9Y580|RBM7_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RBM7_HUMAN", "RBM7_HUMAN")		24.8	266	30503	RNA-binding protein 7 OS=Homo sapiens GN=RBM7 PE=1 SV=1	9	9	1.000	2	2	0	0	3	0	1	1	0	0	2	2	0	0	3	0	1	1	0	0	2.000	2.000	0.000	0.000	3.000	0.000	1.000	1.000	0.000	0.000
6405	1	sp|Q9Y5A7|NUB1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NUB1_HUMAN", "NUB1_HUMAN")		21.6	615	70537	NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2	38	38	1.000	9	5	5	1	3	5	3	3	2	2	9	5	5	1	3	5	3	3	2	2	9.000	5.000	5.000	1.000	3.000	5.000	3.000	3.000	2.000	2.000
6406	1	sp|Q9Y5A9|YTHD2_HUMAN	 	 	sp|Q7Z739|YTHD3_HUMAN, sp|Q9BYJ9|YTHD1_HUMAN, sp|Q9Y5A9|YTHD2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/YTHD2_HUMAN", "YTHD2_HUMAN")		15.0	579	62333	YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	88	46	0.523	5	9	10	12	9	4	8	6	15	10	3	4	5	8	4	2	4	3	5	8	3.804	5.818	7.273	10.462	5.899	3.167	5.778	4.286	10.833	9.143
6407	1	sp|Q9Y5B0|CTDP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CTDP1_HUMAN", "CTDP1_HUMAN")		20.9	961	104398	RNA polymerase II subunit A C-terminal domain phosphatase OS=Homo sapiens GN=CTDP1 PE=1 SV=3	20	20	1.000	3	2	1	2	1	4	0	0	7	0	3	2	1	2	1	4	0	0	7	0	3.000	2.000	1.000	2.000	1.000	4.000	0.000	0.000	7.000	0.000
6408	1	sp|Q9Y5B8|NDK7_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NDK7_HUMAN", "NDK7_HUMAN")		30.6	376	42491	Nucleoside diphosphate kinase 7 OS=Homo sapiens GN=NME7 PE=1 SV=1	16	16	1.000	3	1	2	1	1	2	2	1	1	2	3	1	2	1	1	2	2	1	1	2	3.000	1.000	2.000	1.000	1.000	2.000	2.000	1.000	1.000	2.000
6409	1	sp|Q9Y5B9|SP16H_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/SP16H_HUMAN", "SP16H_HUMAN")		38.2	1047	119912	FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1	231	231	1.000	31	19	39	20	40	13	13	17	22	17	31	19	39	20	40	13	13	17	22	17	31.000	19.000	39.000	20.000	40.000	13.000	13.000	17.000	22.000	17.000
6410	1	sp|Q9Y5J1|UTP18_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/UTP18_HUMAN", "UTP18_HUMAN")		33.1	556	62003	U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens GN=UTP18 PE=1 SV=3	37	37	1.000	7	4	3	4	4	2	5	3	2	3	7	4	3	4	4	2	5	3	2	3	7.000	4.000	3.000	4.000	4.000	2.000	5.000	3.000	2.000	3.000
6411	1	sp|Q9Y5J6|T10B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/T10B_HUMAN", "T10B_HUMAN")		45.6	103	11586	Mitochondrial import inner membrane translocase subunit Tim10 B OS=Homo sapiens GN=TIMM10B PE=1 SV=1	7	7	1.000	0	1	3	0	1	0	0	2	0	0	0	1	3	0	1	0	0	2	0	0	0.000	1.000	3.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000
6412	1	sp|Q9Y5J7|TIM9_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TIM9_HUMAN", "TIM9_HUMAN")		61.8	89	10378	Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens GN=TIMM9 PE=1 SV=1	55	55	1.000	6	7	7	5	6	4	4	3	7	6	6	7	7	5	6	4	4	3	7	6	6.000	7.000	7.000	5.000	6.000	4.000	4.000	3.000	7.000	6.000
